トイプードル	犬の一品種。プードルのうち最も小形の品種で、体高約27センチ。
特鰭	カサゴ目トクビレ科の海水魚。全長約40センチで、雄が大形。体は細長く、多数の骨板に覆われ、雄は第2背びれとしりびれが大きい。本州北部・北海道沿岸に分布。食用。
杜鵑	ホトトギスの漢名。
棘魚	トゲウオ目トゲウオ科の魚の総称。遡河(そか)型と陸封型がある。背部と腹びれ・しりびれに硬いとげをもつ。雄は産卵期に婚姻色を呈し、巣を作り、卵・幼魚を守る習性がある。北半球の温帯・冷帯に分布。日本には、背部のとげが3本のイトヨ・ハリヨ、約10本のトミヨなどがすむ。
棘蜘蛛	コガネグモ科のクモ。体長約6ミリ。腹部側方に二対、後方に一対の硬いとげ状の突起をもつ。樹間に丸い網を張る。本州以南に分布。
棘鼠	ネズミ科の哺乳類。沖縄本島と奄美(あまみ)大島の森林に生息。体長約13センチで、鋭い針状の毛が生えている。天然記念物。
床虱	半翅(はんし)目トコジラミ科の昆虫。体長約5ミリ、体は扁平な円盤状で、赤褐色。家屋内にすみ、人から吸血する。南京(ナンキン)虫。とこむし。
常節	ミミガイ科の巻き貝。アワビに似るが小型で、殻長約7センチ。殻の呼吸孔は6～8個と多い。北海道南部から南の浅海の岩礁にすむ。食用。ながれこ。あなご。《季 春》
床虫	トコジラミの別名。南京(ナンキン)虫。
常世の長鳴き鳥	鶏(にわとり)の別名。   「―を集めて鳴かしめて」〈記・上〉 
土佐犬	１ 日本犬の一。高知地方にみられ、中形で毛色はごまや赤色。猪狩りに用いられた。四国犬。２ 土佐闘犬のこと。
土佐闘犬	犬の一品種。明治の初期に、在来の土佐犬にマスチフやブルドッグなどを交配・改良して闘犬用に作出された。土佐犬。
吐綬鶏	１ ジュケイの別名。２ シチメンチョウの別名。
戸閉蜘蛛	トタテグモ科およびカネコトタテグモ科などの原始的なクモの総称。体長10～18ミリ、赤褐色から黒色。地中または大木の樹皮や岩の上に巣を作り、入り口に扉をつける。
鼈亀	スッポンの別名。
徳利燕	コシアカツバメの別名。とっくり形の巣を作るところからいう。
徳利蜂	ドロバチ科の昆虫。中形のハチで、体は黒色に黄色の斑紋があり、腹部はとっくり状にくびれている。小枝などに泥で壺形の巣を作って産卵し、シャクトリムシなどを狩り集めて運び入れ、幼虫のえさにする。
トッケイ	オオヤモリの別名。その鳴き声からいう。
嫁ぎ教え鳥	《伊弉諾尊(いざなぎのみこと)と伊弉冉尊(いざなみのみこと)の二神に夫婦の交合を教えたという神話から》セキレイの別名。
とど	［名］１ 最も成長した段階のボラ。２ 最後。限度。   「全体土間も六人―で見るといいけれど」〈滑・客者評判記〉 ［副］《「とどのつまり」の略》結局。しまいに。   「二三の問答があって、―僕が狩野法眼元信の幅を…売渡す」〈漱石・吾輩は猫である〉 
海馬	アシカ科の哺乳類。雄は体長約4メートル、体重1トンに達する。体は黒褐色で、頭の幅が広くて後頭部が低く、ひげがある。繁殖期には1頭の雄が多数の雌を従える。太平洋北部で繁殖し、冬に北海道などでもみられる。
禁め鳥	ウグイスの別名。村上天皇が民家の梅の木を宮中に移すのを断念した鶯宿梅(おうしゅくばい)の故事からいう。
トナカイ	《アイヌ語から》シカ科の哺乳類。北極地方のツンドラ地帯に群をなしてすみ、体高1～1.4メートル。雌雄ともに角をもち、ひづめが大きい。北ヨーロッパでは古くから家畜化され、そり引きなどに使われる。カリブー。[補説]「馴鹿」とも書く。
殿様蛙	アカガエル科のカエル。体長5～9センチ。背面は緑色ないし褐色で黒色斑紋があり、背の中央を黄色の線が走る。腹面は白または淡黄色。5～8月に水田や池に寒天質の大きな卵塊を産む。金線蛙(きんせんがえる)。
殿様蝗虫	バッタの一種。全長5～7センチ。色はふつう緑色で、翅(はね)に黒褐色の斑紋が散在。多数発生すると黒褐色に変化し、飛蝗(ひこう)となることがある。乾いた草地にみられ、イネ科植物のほか種々の植物を食べる。大名ばった。
鳶	１ タカ科の鳥。全長約60センチ。全身茶色で、翼の下面に白斑がある。尾は凹形。ピーヒョロロと鳴きながら羽ばたかずに輪を描いて飛ぶ。ユーラシアに広く分布。漁港や市街地に多く、魚や動物の死体を食べる。とんび。２ 「鳶職」の略。３ 「鳶口」の略。４ 「鳶色」の略。
鳶烏賊	アカイカ科の頭足類。全長約30センチ。熱帯・亜熱帯に分布。海上を飛ぶことがある。沖縄ではするめにする。
鳶色浮塵子	ウンカ科の昆虫。体長約5ミリ。全体に淡褐色ないし暗褐色。稲などの大害虫。あきうんか。
飛魚	１ トビウオ科の海水魚。全長約35センチ。背中が銀青色、腹が白い。大きな胸びれ・腹びれを広げて海面上を飛ぶ。本州中部以南に分布。食用。ほんとび。あご。つばめうお。とんぼうお。とび。《季 夏》２ ダツ目トビウオ科の海水魚の総称。体は筒形で長い。胸びれ・腹びれが著しく大きく、尾びれ下部も大きい。外洋の表層を群遊し、危険にあうと水から飛び出して飛行する。日本近海にはトビウオ・ハマトビウオ・ホソトビウオ・ツクシトビウオなどがみられる。
跳兎	齧歯(げっし)目トビウサギ科の哺乳類。リスに近縁。体はウサギ大で、後肢と尾が長く、カンガルーに似て、後肢で跳ね飛ぶ。アフリカのサバンナや荒れ地にすみ、夜行性。
とびえい	エイ目トビエイ科の海水魚。全長約1.8メートル。体は菱形。尾は全長の約3分の2。毒針がある。背面は黒褐色で腹面は白色。
飛螻蛄	トビケラ目の昆虫の総称。水辺にすみ、翅(はね)に細かい毛が密生し、多くは後ろ翅が幅広で、屋根形に畳み、ガに似る。完全変態。幼虫は水生で、いさごむし・ごみかつぎなどとよばれ、水草や小石で筒状の巣を作る。毛翅(もうし)類。
飛蜥蜴	有鱗(ゆうりん)目アガマ科トビトカゲ属のトカゲの総称。全長約30センチ。胴の両側に肋骨(ろっこつ)に支えられた翼膜があり、これを広げて滑空する。東南アジアに分布。
跳鼠	齧歯(げっし)目トビネズミ科の哺乳類の総称。尾は体長より長く、後肢も長く、跳躍して走る。北アフリカからアジアにかけて分布。
跳鯊	ハゼ科の海水魚。全長約10センチ。目は頭の上部にカエルのように飛び出している。体色は黄褐色でかすり状の暗色斑がある。干潟にみられ、胸びれで泥上を跳び歩き、小動物を捕らえる。本州中部以南の河口域に生息。
跳虫	１ トビムシ目の昆虫の総称。体長1～5ミリで、翅(はね)はない。腹部に跳躍器をもち、よく跳ねる。湿気の多い所をこのむ。粘管類。のみむし。２ 端脚目ヨコエビ亜目の甲殻類。体長約1センチで、多くは淡水にすむ。体は平たく弓状に曲がり、よく跳ねる。
杜父魚	カジカの漢名。
苫屋貝	トマヤガイ科の二枚貝。潮間帯の岩礁に足糸で固着している。長方形で、殻長約25ミリ。殻表に太い放射状の肋(ろく)があり、灰白色で褐色斑がある。胎生。
とみよ	トゲウオ科の淡水魚。水の澄んだ池などにすむ。全長約5センチ。背びれに9、10本のとげがあり、体側に鱗板(りんばん)が並ぶ。体色は灰黄色で背部は青みを帯びる。春から夏にかけて、水草で球状の巣を作り産卵する。北海道・本州に分布。はりお。[補説]「富魚」とも書く。
巴蛾	ヤガ科の昆虫。翅(はね)の開張約6.5センチ。翅は褐色で、前翅に巴形の大きな紋がある。灯火にも来るが、昼間、林の中を飛ぶ。幼虫はネムノキの葉を食べる。
巴鴨	カモ科の鳥。全長約40センチ。雄の顔に緑色と黄色の巴形の斑紋がある。東シベリアで繁殖、日本では冬鳥。あじがも。あじ。
富山海老	タラバエビ科の甲殻類。体長17センチくらい。日本海からベーリング海に分布し、特に富山湾に多産。食用。
虎	１ ネコ科の哺乳類。ライオンと並ぶ大形の猛獣。体長約2メートル。全身黄褐色で黒い横縞がある。シカ・イノシシなどを捕食。沿海州から朝鮮半島・中国を経てインド・ジャワ・バリ島まで広くアジアに分布し、主に密林に単独またはつがいで暮らす。シベリアトラ・ベンガルトラなどの亜種に分けられる。乱獲により数が激減。２ 酒に酔って言動が荒くなった人。酔っぱらい。「虎箱」３ 「阪神タイガース」のこと。「虎連敗脱出」
トラウト	鱒(ます)。ニジマスの類。
トラウトサーモン	《(和)trout（鱒(ます)）＋salmon（鮭(さけ)）》⇒サーモントラウト
虎海老	クルマエビ科の甲殻類。体長約10センチで、アカエビに似るが、体に黒褐色の斑がある。瀬戸内海・有明海に多い。食用。
虎天牛	カミキリムシ科の昆虫。黄褐色に黒い縞模様がある。幼虫は桑・リンゴなどの生木の内部にすむ。とらふかみきり。
虎蛾	１ トラガ科の昆虫。翅(はね)は黒色で、前翅には黄白色の、後翅には橙黄色の斑紋があり、腹部には橙黄色の横縞がある。２ 鱗翅(りんし)目トラガ科の昆虫の総称。おおむね昼飛性。翅は派手な色彩のものが多く、大部分は熱帯に産する。
虎鱚	スズキ目トラギス科の海水魚。全身約20センチ。体は筒形で、赤褐色に6本の暗褐色の横帯と体側に1本の青色の縦帯がある。本州中部以南に分布。食用。
虎鮫	ネズミザメ目トラザメ科の海水魚。全長約50センチ、褐色の地に暗褐色の雲状斑がある。卵は、コイル状の糸で海草に絡みつく。
虎鶫	ヒタキ科トラツグミ属の鳥。全長約30センチ。全体に黄褐色に黒斑がある。暗い森の中にすみ、夜、ヒーヒョーと笛を吹くような寂しい声で鳴く。アジア・ニューギニアに分布。日本では漂鳥。ぬえどり。ぬえ。《季 夏》→鵼(ぬえ)
虎河豚	フグ科の海水魚。全長約70センチ。胸びれ後方に、周囲が白い黒青色の大斑があり、卵巣・肝臓に強毒がある。ふぐ料理では最高級品で冬が旬(しゅん)。ふぐ提灯にもする。北海道以南、東シナ海まで分布。下関地方で「まふく」、岡山・広島地方で「おおふく」とよぶ。《季 冬》
虎斑木菟	フクロウ科の鳥。全長38センチくらい。全身黄褐色で黒斑があり、耳羽が長い。ユーラシアと北アメリカに広く分布。日本では北海道と本州で繁殖し、本州以南で越冬する。
鳥貝	ザルガイ科の二枚貝。内湾の泥底にすむ。貝殻は球円形で殻長9センチくらい。殻は薄く、表面は黄褐色の殻皮をかぶり、内面は紫紅色。すし種・干物などにする。《季 春》「三月や伊勢にまた来て鳥貝を／澄雄」
鳥食蜘蛛	⇒オオツチグモ
トリコモナス	鞭毛(べんもう)虫綱トリコモナス属の原生動物の総称。体は西洋ナシ形で、鞭毛と波動膜をもつ。膣(ちつ)内に寄生する種もある。
鳥捕蜘蛛	⇒オオツチグモ
鳥の脚	１ ウミユリ綱ゴカクウミユリ科の棘皮(きょくひ)動物。相模湾などの深い海底に固着して生息。外観は鶏の足を逆さにしたようで、多数の腕が冠状につき、全体が薄桃色で、多くの節がある。２ 海藻のユイキリの別名。３ シダのイノモトソウの別名。
鳥の糞騙	コガネグモ科のクモ。体長約1センチ。腹部は横に大きく膨らみ、黄白色で、葉に脚を縮めて止まっているようすが鳥の糞のように見える。日没後に網を張り、日の出前にこわす。
トリパノソーマ	動物性鞭毛虫綱マクムシ科の原生動物の総称。鳥獣やカエルの寄生虫で、単細胞。アフリカではツェツェバエの媒介で睡眠病を起こすものもある。
トロッター	米国で作り出された馬の一品種。ギャロップ（駆け足）よりトロット（速歩）を得意とし、繋駕(けいが)競走用。
蜻蛉	１ トンボ目の昆虫の総称。頭部の複眼は大きく左右に突出し、単眼は3個ある。触角は短く、かむ口をもつ。胸部には長大な2対の翅(はね)をもつ。腹部は長く棒状。幼虫は水生で、ヤゴとよばれる。成虫・幼虫ともに他の昆虫を捕食する。不完全変態。イトトンボ・サナエトンボ・オニヤンマ・アキアカネ・シオカラトンボなど。あきつ。かげろう。せいれい。とんぼう。《季 秋》「とどまればあたりにふゆる蜻蛉かな／汀女」２ トビウオの別名。とんぼうお。３ 歌舞伎で、役者が立ち回り中に切られたり投げられたりしたときなどに、手をつかずに宙返りすること。とんぼがえり。「蜻蛉を切る」４ 印刷で、刷り位置を正確にするために版や原稿につける十文字の印。５ 運動場を整地する道具の通称。木製・金属製の丁字形の棒で、地面をならして平坦にする。形状が1に似ることによる呼び名。６ 「蜻蛉結び」の略。７ 「蜻蛉持ち」の略。
蜻蛉鮪	ビンナガの別名。
