無角牛	角のない牛の品種。肉牛・乳牛に多い。
むささび	《古くは「むざさび」とも》リス科の哺乳類。リスに似て、体長約40センチ、尾長約35センチ。背面は灰褐色で、目の上からほおにかけ白帯がある。森林にすみ、夜行性。前後の足の間にある飛膜を広げて木から木へ滑空し、木の芽・実・葉を食べる。本州以南から朝鮮半島・中国に分布。のぶすま。おかずき。《季 冬》「むささびや夜霧吹き入る手打蕎麦／秋桜子」
武蔵とみよ	トゲウオ科の淡水魚。全長約5センチ、体色は灰黄色で背びれにとげをもつ。温度の低い澄んだ水を好み、春から夏にかけて水草で球状の巣を作る。[補説]かつては東京・埼玉・茨城などでみられたが、水質の変化などにより生息数が激減し、現在は埼玉県熊谷市の元荒川上流域でのみ確認されている。
虫鰈	カレイ科の海水魚。沿岸の砂泥底にすむ。全長約40センチ。体は卵円形。有眼側は暗褐色で、黒褐色の輪状紋が虫食い状に散在。干物などにする。みずがれい。
虫食い	１ 虫が食うこと。また、そのあと。「虫食いの古本」「虫食いの葉」２ 陶磁器の縁に表れた釉(うわぐすり)の小さな剥落(はくらく)のあと。虫が食ったあとに似る。釉が素地(きじ)によく付着していないとできる。中国明代末期の古染め付けに多くみられ、茶人が賞玩(しょうがん)した。３ スズメ目ムシクイ科の鳥の総称。日本ではセンダイムシクイ・メボソムシクイ・エゾムシクイ・イイジマムシクイが繁殖。羽色はいずれも暗緑色で白い眉斑があり、似ているが、さえずりが異なる。林にすみ昆虫やクモを主食とする。４ 老いた鶯(うぐいす)のこと。   「夏、秋の末まで老い声に鳴きて、―など、ようもあらぬ者は」〈枕・四一〉 
虫引虻	双翅(そうし)目ムシヒキアブ科の昆虫の総称。体にとげ状の毛が散在し、口吻(こうふん)は鋭く、刺すのに適する。枝葉の上で小昆虫を捕らえ、体液を吸う。シオヤアブ・アオメアブなど。
筵貝	ムシロガイ科の巻き貝。浅海の砂泥地にすむ。殻表に縦横の刻み目があり、むしろの編み目を思わせる。
狢	１ アナグマの別名。《季 冬》「山がつや狢しとめし一つだま／蛇笏」２ 《毛色がアナグマに似ているところから混同して》タヌキのこと。《季 冬》３ 《「同じ穴の狢」の略》同類の悪党。   「―めらなぞと女房は寄せ付けず」〈柳多留・二七〉 
ムスタング	《「マスタング」とも》米国で、野生の状態で暮らしているやや小形の馬。スペイン人が放牧したものが野生化した。
むつ	スズキ目ムツ科の海水魚。深海にすみ、全長約60センチ。体は細長くて側扁し、目と口が大きく、全体に黒紫色。東北地方以南に産し、産卵期の冬が美味。卵巣もムツの子といって賞味。《季 冬》
むつごろう	ハゼ科の海水魚。全長約20センチ。目は頭頂部に突き出ていてよく動く。体色は暗緑色で、体側とひれに青色の斑点がある。日本では有明海と八代海に生息。皮膚呼吸もでき、泥上を胸びれではいまわったり、全身で跳ねたりして移動し、珪藻(けいそう)類を食う。かば焼きなどにして賞味。《季 春》
鰻	うなぎの古形。   「夏痩(や)せに良しといふものそ―捕り喫(め)せ」〈万・三八五三〉 
胸黒	チドリ科の鳥。全長24センチくらい。夏羽は顔・胸・腹にかけて黒くなる。ユーラシア北部で繁殖。オーストラリアへ渡り、日本では春・秋に田などでみられる。あいぐろ。《季 冬》
ムフロン	ウシ科ヒツジ属の哺乳類。体は小形で、雄は大きな螺旋(らせん)形の角をもつ。コルシカ島やサルデーニャ島などの山岳地帯に生息。家畜のヒツジの原種とされる。
紫貽貝	イガイ科の二枚貝。内湾の岩などに足糸(そくし)で付着する。殻長9センチくらい。イガイに似るが、殻頂は丸みを帯びる。ヨーロッパの原産で、日本には昭和初期に船底に付着して渡来。食用。ムール貝。淡菜。
紫海胆	ナガウニ科のウニ。沿岸の岩礁にすみ、やや扁平な球状で殻径5～7センチ。とげは長く、全体が暗赤紫色から黒紫色。本州中部以南から中国にかけて分布。外形が似て、本州北部から北海道にみられるのはキタムラサキウニで、オオバフンウニ科の別種。ともに食用。
紫貝	１ シオサザナミガイ科の二枚貝。浅海の泥底に穴を掘ってすむ。貝殻は長楕円形で、殻長7センチくらい。殻表、内面ともに紫色。相模湾以南に分布。２ ウチムラサキの別名。
紫小灰蝶	シジミチョウ科のチョウ。翅(はね)の開張約3.5センチ。翅の中央部が金属光沢のある紫色。花に来ることは少ない。幼虫はカシ類の新芽を食べ、成虫で越冬する。
室鰺	アジ科の海水魚。全長約40センチ。体はやや細長く、ぜんごとよぶ硬いうろこが尾部にしかない。体側中央に赤褐色の縦帯がある。本州中部以南に産し、マアジより暖海を好む。よく似て尾びれの赤いものはオアカムロで、ともに干物にする。[補説]「鰘」は国字。
ムース	アメリカで、ヘラジカのこと。
ムール貝	《(フランス)moule》ムラサキイガイの別名。フランス料理に用いられる。
