爺が背	ヒザラガイの別名。
ジャッカル	イヌ科の哺乳類。オオカミに似るが、小形で口先が細く耳が大きい。体毛は赤褐色ないし黄褐色。夜、群れをなして死肉をあさる。タイからアフリカにかけて分布し、インドジャッカル・金色ジャッカルともいう。広義には、セグロジャッカルなどを含めた4種の総称。
蛇の目蝶	１ ジャノメチョウ科の昆虫。黒褐色のチョウで、前翅 (まえばね) に2個、後ろ翅に1個の眼状紋がある。草原にすみ、幼虫の食草はススキ・スズメノカタビラなど。２ 鱗翅 (りんし) 目ジャノメチョウ科の昆虫の総称。多くは褐色で、翅に円形の紋がある。樹間を好んで飛ぶ。ベニヒカゲ・コノマチョウなど。《季 春》
ジャパニーズボブテール	家猫の一品種。日本産の短毛種で、尾が短い。
蛇虫	ゴカイ科の環形動物。体長約90センチになる大形のゴカイで、内湾の泥底中にすむ。東北・北海道に分布し、5、6月の生殖期にはいぼ足が大きく変形し、夜間に海面を生殖群泳する。
ジャングルキャット	ネコ科の哺乳類。体長約60～70センチ。体は灰褐色から灰黄色で、四肢と尾の先端に黒い縞 (しま) がある。南アジアから中近東にかけての草原や水辺のやぶなどに生息。
ジャンボ田螺	スクミリンゴガイの俗称。
ジャージー	１ メリヤス編みの布地。細いうねがあって柔らかく、伸縮性に富む。２ 1の布地を使った、ラグビーなどで着用するユニホーム。また、一般に運動着のこと。ジャージ。３ 家畜の牛の一品種。英国のジャージー島の原産。小形の乳牛で、乳汁は脂肪が多くバター製造に適する。
じゅういち	カッコウ科の鳥。全長約32センチ。頭・背は黒っぽい灰色、腹は赤褐色。日本では夏鳥で、他の鳥の巣に托卵 (たくらん) する。名は鳴き声に由来。慈悲心鳥 (じひしんちょう) 。《季 夏》「じゅういちの遠のく十も一の音も／爽雨」[補説]「十一」とも当てて書く。
十三年蝉	周期ゼミの一。13年ごとに発生する。
十七年蝉	周期ゼミの一。17年ごとに発生する。
十姉妹	カエデチョウ科の鳥。スズメより小形。中国で、コシジロキンパラ（ダンドク）を改良してつくられたといわれる飼い鳥。羽色は褐色と白色のまだらのものが多く、純白のものもある。丈夫で飼いやすく、よく繁殖する。
十二雀	コガラの別名。
十二指腸虫	ズビニ鉤虫 (こうちゅう) の別名。
綬鶏	キジ科ジュケイ属の鳥の総称。鶏大で、赤・灰・褐色などの地に白や灰色の斑点がある。雄は頭部に肉質の突起や、のどに肉垂れをもつ。中国からヒマラヤにかけ5種が分布。吐綬鶏 (とじゅけい) 。
儒艮	海牛目ジュゴン科の哺乳類。全長約3メートル。海草を食う。前肢はひれ状で、後肢は退化。水平で三日月形の尾びれをもつ。乳頭が胸にあるため、哺乳する姿から人魚に擬せられることがある。紅海・インド洋からオーストラリア北部に至る熱帯の海に少数が分布する。沖縄にも現れ、天然記念物。ざんのいお。
数珠掛鳩	ハト科の鳥。全身薄茶色で、くびの後ろに黒褐色の輪模様がある。古くから世界的に広く飼われていた家禽 (かきん) で、原産地は北アフリカとされる。
馴鹿	トナカイのこと。
浄海坊	１ ジョウカイボン科の昆虫。体長1.5センチほどで黄褐色。カミキリに似て細長いが前翅は柔らかい。4～8月ごろにみられ、花の蜜や小昆虫をえさにする。２ ジョウカイボン科の昆虫の総称。じょうかい。
条虫	条虫綱の扁形動物の総称。すべて寄生性。体は扁平でひも状。前端部以外は細かく分かれた体節からなる。瓜実 (うりざね) 条虫・有鉤 (ゆうこう) 条虫・無鉤条虫など。さなだむし。
蟯虫	⇒ぎょうちゅう（蟯虫）
尉鶲	ヒタキ科ジョウビタキ属の鳥。スズメ大。雄は頭が灰色、顔と背が黒く、腹・腰・尾が赤褐色。雌は茶色。翼に白斑があるので紋付き鳥ともいわれる。シベリアで繁殖し、日本では冬鳥。《季 秋》
女郎蜘蛛	１ コガネグモ科のクモ。体長は雌が25ミリ、雄が7ミリくらい。雌は腹部には黄色や青黒色の縞があり、側面後方に紅色の斑点をもつ。雄は黄褐色で地味。樹間などに大きな三重の網を張る。本州以南に分布。２ コガネグモのこと。《季 夏》
ジラフ	キリン（麒麟）1のこと。
ジンゴ	⇒ディンゴ
尋常海綿	⇒普通海綿
腎虫	線虫綱腎虫科の寄生虫。体長約15～100センチで、鮮紅色。犬・豚・牛・馬のほか、まれに人の腎臓にも寄生する。中間宿主は淡水魚。
じんどう烏賊	ジンドウイカ科のイカ。胴長約10センチ。ひれは菱形で胴の後ろ半分の左右にある。食用。こいか。ひいか。
甚平鮫	サメ目ジンベイザメ科の海水魚。魚類では最大で、ふつう全長約10メートルで、20メートルのものも知られる。口は頭部前端にあり、歯は小さく、動物プランクトンや小魚を食べる。性質はおとなしい。卵生。外洋性で、世界の温・熱帯海域に分布。じんべえざめ。
