石花	カメノテの古称。せい。〈和名抄〉
赤卒	アカトンボの別名。
赤痢アメーバ	アメーバ赤痢などの病原体となる原生動物。腸に寄生する。熱帯を中心に世界に広く分布。
鶺鴒	スズメ目セキレイ科の鳥のうち、キセキレイ・セグロセキレイ・ハクセキレイなどの総称。水辺でみられ、スズメより大形。尾が長く上下に振る習性がある。いしたたき。にわたたき。とつぎおしえどり。こいおしえどり。《季 秋》「鶺鴒のなぶり出しけり山の雨／一茶」
背黒鰺刺	カモメ科の鳥。全長41センチくらいで、頭・背・尾にかけて黒く、下面は白い。熱帯海域に広く分布し、外洋性。日本では琉球諸島に繁殖。
背黒鰯	カタクチイワシの別名。
背黒鴎	カモメ科の鳥。全長60センチくらいで、背と翼の上面が灰色で、翼の先が黒っぽい。尾と腹面は白。北極圏周辺で繁殖し、日本では冬鳥として海岸でみられる。
背黒五位	ゴイサギの成鳥のこと。羽色から、幼鳥を星五位とよぶのに対していう。
背黒鶺鴒	セキレイ科の鳥。全長21センチくらいで尾が長い。頭から背・胸・尾が黒く、額からまゆと腹は白い。日本でのみ繁殖する留鳥。《季 秋》
背白浮塵子	ウンカ科の昆虫。体は4ミリほどで、淡黄色で黒斑があり、翅(はね)は半透明。夏季に発生し、夏ウンカとよばれ、稲の大害虫。
背条露虫	キリギリス科の昆虫。夏・秋にみられるツユムシで、体は緑色または褐色。背部に雄では褐色、雌では黄色のすじがある。雄はツツツジーッチジーッチと鳴く。
せせりちょう	鱗翅(りんし)目セセリチョウ科のチョウの総称。小形で、体が太くガに似る。色彩も褐色や黒色の地味なものが多い。花や動物の排泄物に寄ってくる。ダイミョウセセリ・アオバセセリ・チャバネセセリ・イチモンジセセリなど。《季 春》
瀬田蜆	シジミの一種。大津市瀬田など琵琶湖とその下流水系に分布。4月ごろが美味。《季 春》
雪加	セッカ科セッカ属の鳥。スズメより小形で、体のわりに尾が大きい。背面は黄褐色に黒い縦斑があり、腹面は白っぽい。ユーラシアに広く分布。日本では夏鳥として草地や川原でみられ、上昇しながらヒッヒッ、下降のときにチャッチャッと鳴く。《季 夏》「雪加鳴き端居にとほき波きこゆ／秋桜子」
石灰海綿	海綿動物のうち、骨格が炭酸カルシウムからなるもの。体内の構造は比較的簡単で、浅海に多い。アミカイメン・クダカイメンなど。
尺蠖	尺取虫(しゃくとりむし)の別名。
雪客	鷺(さぎ)の別名。
せっきょう	カメノテの別名。
せっけいかわげら	クロカワゲラ科の昆虫。体長約1センチで細長く黒色、細長い3本の尾があり、翅(はね)はない。夏、本州中部山岳地帯の残雪上に現れ、平地でも早春に雪上でみられることがある。雪渓虫。
雪渓虫	セッケイカワゲラの別名。
セッター	１ 犬の一品種。英国原産。鳥猟に用いられ、獲物を見つけると伏せ（セットset）の姿勢をとる。イングリッシュセッター・アイリッシュセッターなどの種類がある。２ バレーボールで、スパイクのためのトスを上げる役目の選手。トサー。
瀬戸物貝	ハナゴウナ科の巻き貝。貝殻は細長い円錐形で、殻高約3センチ。殻表は白く光沢がある。本州中部以南の暖海に分布。
セパード	⇒シェパード
蝉	１ 半翅(はんし)目セミ科の昆虫の総称。翅(はね)は膜質で透明。頭部は三角形で両側に複眼、その間に単眼が3個あり、管状の口吻(こうふん)をもち、樹液を吸う。雄は腹部に発音器をもち、樹幹などで鳴く。幼虫は地中で木の根の汁を吸って育ち、数年ののち地上に出て成虫になる。日本にはアブラゼミ・ニイニイゼミ・ヒグラシ・クマゼミ・ミンミンゼミ・ツクツクボウシなど32種が知られる。《季 夏》「閑(しづ)かさや岩にしみ入る蝉の声／芭蕉」２ 帆柱の上端または長いさおの先などにつけて、綱を掛けて、高い所に物を引き上げるのに用いる小さい滑車。せみぐち。せみもと。３ 雅楽に使う横笛の部分の名。吹き口と頭(かしら)の中間の背面を約1センチ切り取って蝉形の木片をはめこんだもの。
蝉海老	ウチワエビ科のエビ。体は長方形に近く、扁平で、体長約30センチ。体表は大粒の顆粒(かりゅう)で覆われ、黄褐色に赤茶色の斑が入る。房総以南の暖海に分布。食用。
背美鯨	クジラ目セミクジラ科の哺乳類。中形のヒゲクジラで、体長15～20メートル。背びれがなく、全身黒色で、頭部が巨大。泳ぎが遅く潜水時間は短い。北大西洋・北太平洋に分布。乱獲されて減少し、現在は国際捕鯨条約により捕獲禁止。せびくじら。
せみほうぼう	カサゴ目セミホウボウ科の海水魚。全長約35センチ。体はホウボウに似るが、胸びれは大きく長い。体色は黄赤色で斑点がある。本州中部以南の海の表層にすむ。
蝉寄生蛾	鱗翅(りんし)目セミヤドリガ科の昆虫。小形のガで、翅(はね)は黒褐色。木の幹に産卵し、幼虫はヒグラシ・ツクツクボウシなどに外部寄生して白色の蝋(ろう)を分泌する。成熟すると草間におりてさなぎになる。
瀬虫	イサゴムシの別名。
仙客	１ 仙人。２ 鶴の別名。
仙禽	１ 仙界にいるという霊鳥。２ 鶴の別名。
線形虫	線形虫綱の袋形動物の総称。幼虫は昆虫・甲殻類に寄生し、成熟後は水中で自由生活をする。ハリガネムシなど。
穿山甲	有鱗(ゆうりん)目センザンコウ科の哺乳類の総称。家猫大で、全身が毛の変化したうろこで覆われ、敵にあうと丸くなる。歯がなく、長い舌でアリをとって食べる。四肢ともに鋭い鉤(かぎ)づめをもつ。アフリカから東南アジアにかけて分布。
千手観音	《「千手千眼観世音」の略》六観音・七観音の一。衆生(しゅじょう)をあまねく済度(さいど)する大願を千本の手に表す観音で、千は無量円満を表す。ふつう42の手を持つ像につくる。《頭部の近くに足がかたまって生えているのがの姿に似ているところから》シラミの俗称。
仙台虫喰	ムシクイ科ムシクイ属の小鳥。羽色はウグイスに似て、小形。ユーラシア東部に分布。日本には夏鳥として渡来し、山地で繁殖する。《季 夏》「朝餉(あさげ)の座仙台虫喰をきくは誰／秋桜子」
雪隠金亀子	甲虫目センチコガネ科の昆虫。体は丸く、藍紫色の光沢がある。獣糞に集まり、雌は掘った穴に糞を詰めて産卵する。
線虫	線虫綱の袋形動物の総称。体はクチクラに覆われ、糸状・ひも状で、体長1ミリから数メートルに及ぶ。植物や動物に寄生するもの、土中にすむものなどがある。回虫・蟯虫(ぎょうちゅう)・糸状虫・根腐れ線虫・根瘤(ねこぶ)線虫など種類が多い。ネマトーダ。
セントバーナード	犬の一品種。スイスの原産。体高約70センチ、体重90キロに達する長毛の大形犬。アルプスで雪山遭難者の救助に用いられ、名は飼われていたサン‐ベルナール修道院に由来。
潜入	［名］(スル)１ こっそりと入り込むこと。忍び込むこと。「敵地に潜入する」２ 天文学で、月の後ろに恒星や惑星が隠れる現象。３ （「仙入」とも書く）センニュウ科センニュウ属の鳥の総称。ウグイスに似る。アジア・アフリカに24種が分布。日本では夏鳥としてエゾセンニュウ・マキノセンニュウ・シマセンニュウが草原にすむ。
千年鯛	フエダイ科の海水魚。全長約80センチ。体は側扁し、体高は高く、桃赤色。南日本から東南アジア・インド洋に分布。食用。
千振	１ リンドウ科の越年草。日当たりのよい山野などに生え、高さ約25センチ。茎は四角柱で暗紫色、葉は線形。秋、花びらの5裂した、紫色のすじのある白い花を開く。全体に苦味があり、胃腸薬に用いられる。名は、煎じて千回振り出してもまだ苦いことに由来。当薬(とうやく)。医者倒し。《季 秋》２㋐脈翅(みゃくし)目センブリ科の昆虫の総称。体長1～2.5センチ、翅(はね)の開張2～4センチ。ヘビトンボに似るが、それより小形で黒色。単眼がない。幼虫は小さな流れにすみ、成虫は初夏のころ水辺を飛ぶ。㋑センブリ科の昆虫。北海道・シベリアに分布し、水辺の草上にみられる。
旋毛虫	旋毛虫科の線虫類。体長1～4ミリの糸状で、成虫は哺乳類の小腸に、幼虫は筋肉内に寄生する。ヒトには主に豚肉の生食から感染。日本には少ない。
セーブル	クロテン。また、その毛皮。
セールフィッシュ	《「セイルフィッシュ」とも》バショウカジキのこと。（Sailfish）⇒セールフィッシュOS
